text,label,split,template_family,subset,source,notes
flip quiet mode for client follow up,TOGGLE_FOCUS_MODE,validation,v2_validation_TOGGLE_FOCUS_MODE_terse_intent_1,terse_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
activate backlog item for support reply,PROMOTE_TASK,train,v2_train_PROMOTE_TASK_terse_intent_25,terse_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
please flip the quiet mode switch for client follow up,TOGGLE_FOCUS_MODE,train,v2_train_TOGGLE_FOCUS_MODE_polite_intent_2,polite_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
please move completed items to the archive for design critique,ARCHIVE_COMPLETED,train,v2_train_ARCHIVE_COMPLETED_polite_intent_6,polite_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
the active card can be closed now for handoff note,COMPLETE_ACTIVE,train,v2_train_COMPLETE_ACTIVE_indirect_intent_39,indirect_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
record a new backlog item for supplier call checkpoint 13,CREATE_TASK,train,v2_train_CREATE_TASK_clean_intent_12,clean_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
there should be a new task for migration note,CREATE_TASK,train,v2_train_CREATE_TASK_indirect_intent_35,indirect_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
record a new backlog item for demo script,CREATE_TASK,train,v2_train_CREATE_TASK_clean_intent_28,clean_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
mark the active task finished after research outline,COMPLETE_ACTIVE,validation,v2_validation_COMPLETE_ACTIVE_clean_intent_8,clean_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
please close the in-progress item for bug triage,COMPLETE_ACTIVE,train,v2_train_COMPLETE_ACTIVE_polite_intent_22,polite_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
do not toggle focus mode for test plan,ABSTAIN,train,v2_train_ABSTAIN_negation_84,negation,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
create a task for release note and archive everything completed,ABSTAIN,test,v2_test_ABSTAIN_compound_15,compound,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
file completed tasks for dependency audit,ARCHIVE_COMPLETED,train,v2_train_ARCHIVE_COMPLETED_terse_intent_41,terse_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
the active slot should take the next pending task for migration note,PROMOTE_TASK,train,v2_train_PROMOTE_TASK_indirect_intent_35,indirect_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
record a new backlog item for course prep,CREATE_TASK,test,v2_test_CREATE_TASK_clean_intent_0,clean_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
switch the focus setting while working on budget review,TOGGLE_FOCUS_MODE,train,v2_train_TOGGLE_FOCUS_MODE_clean_intent_0,clean_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
assign the current task to meeting recap,ABSTAIN,train,v2_train_ABSTAIN_near_miss_107,near_miss,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
rename the active task to data cleanup,ABSTAIN,train,v2_train_ABSTAIN_near_miss_65,near_miss,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
the active card can be closed now for travel receipt,COMPLETE_ACTIVE,test,v2_test_COMPLETE_ACTIVE_indirect_intent_7,indirect_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
todo item for dependency audit checkpoint 42,CREATE_TASK,train,v2_train_CREATE_TASK_terse_intent_41,terse_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
nargle done metrics review square humming,ABSTAIN,train,v2_train_ABSTAIN_gibberish_74,gibberish,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
please move completed items to the archive for release note,ARCHIVE_COMPLETED,train,v2_train_ARCHIVE_COMPLETED_polite_intent_26,polite_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
switch the focus setting while working on lab notes,TOGGLE_FOCUS_MODE,validation,v2_validation_TOGGLE_FOCUS_MODE_clean_intent_0,clean_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
please flip the quiet mode switch for paper summary,TOGGLE_FOCUS_MODE,train,v2_train_TOGGLE_FOCUS_MODE_polite_intent_14,polite_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
leave completed work unarchived after planning memo,ABSTAIN,train,v2_train_ABSTAIN_negation_98,negation,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
record a new backlog item for grant draft,CREATE_TASK,train,v2_train_CREATE_TASK_clean_intent_4,clean_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
switch the focus setting while working on feedback pass checkpoint 17,TOGGLE_FOCUS_MODE,train,v2_train_TOGGLE_FOCUS_MODE_clean_intent_16,clean_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
do the usual workflow for meeting recap,ABSTAIN,validation,v2_validation_ABSTAIN_ambiguous_6,ambiguous,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
move the next waiting item into active work for access request checkpoint 41,PROMOTE_TASK,train,v2_train_PROMOTE_TASK_clean_intent_40,clean_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
archive the finished items after onboarding checklist,ARCHIVE_COMPLETED,validation,v2_validation_ARCHIVE_COMPLETED_clean_intent_4,clean_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
do the usual workflow for course prep,ABSTAIN,train,v2_train_ABSTAIN_ambiguous_111,ambiguous,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
file completed tasks for reading summary,ARCHIVE_COMPLETED,train,v2_train_ARCHIVE_COMPLETED_terse_intent_33,terse_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
mark the active task finished after course prep,COMPLETE_ACTIVE,test,v2_test_COMPLETE_ACTIVE_clean_intent_0,clean_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
please pull the next pending task forward for review checklist,PROMOTE_TASK,train,v2_train_PROMOTE_TASK_polite_intent_38,polite_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
flip quiet mode for supplier call,TOGGLE_FOCUS_MODE,test,v2_test_TOGGLE_FOCUS_MODE_terse_intent_1,terse_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
the archive should receive completed tasks for migration note,ARCHIVE_COMPLETED,train,v2_train_ARCHIVE_COMPLETED_indirect_intent_35,indirect_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
activate backlog item for lab notes,PROMOTE_TASK,train,v2_train_PROMOTE_TASK_terse_intent_1,terse_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
todo item for design critique,CREATE_TASK,validation,v2_validation_CREATE_TASK_terse_intent_5,terse_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
record a new backlog item for workshop agenda,CREATE_TASK,train,v2_train_CREATE_TASK_clean_intent_32,clean_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
focus mode needs to move to its other state for contract comment,TOGGLE_FOCUS_MODE,train,v2_train_TOGGLE_FOCUS_MODE_indirect_intent_27,indirect_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
make progress on contract comment somehow,ABSTAIN,train,v2_train_ABSTAIN_ambiguous_27,ambiguous,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
archive the finished items after weekly planning,ARCHIVE_COMPLETED,train,v2_train_ARCHIVE_COMPLETED_clean_intent_20,clean_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
nargle done onboarding checklist square humming,ABSTAIN,validation,v2_validation_ABSTAIN_gibberish_4,gibberish,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
there should be a new task for contract comment checkpoint 28,CREATE_TASK,train,v2_train_CREATE_TASK_indirect_intent_27,indirect_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
do the usual workflow for release note,ABSTAIN,train,v2_train_ABSTAIN_ambiguous_76,ambiguous,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
archive the finished items after research outline checkpoint 9,ARCHIVE_COMPLETED,validation,v2_validation_ARCHIVE_COMPLETED_clean_intent_8,clean_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
switch the focus setting while working on weekly planning,TOGGLE_FOCUS_MODE,train,v2_train_TOGGLE_FOCUS_MODE_clean_intent_20,clean_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
please flip the quiet mode switch for meeting recap,TOGGLE_FOCUS_MODE,validation,v2_validation_TOGGLE_FOCUS_MODE_polite_intent_6,polite_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
mark the active task finished after lab notes,COMPLETE_ACTIVE,validation,v2_validation_COMPLETE_ACTIVE_clean_intent_0,clean_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
nargle done research outline square humming,ABSTAIN,train,v2_train_ABSTAIN_gibberish_109,gibberish,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
please close the in-progress item for travel receipt,COMPLETE_ACTIVE,train,v2_train_COMPLETE_ACTIVE_polite_intent_18,polite_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
please pull the next pending task forward for client follow up,PROMOTE_TASK,train,v2_train_PROMOTE_TASK_polite_intent_2,polite_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
the active card can be closed now for data cleanup,COMPLETE_ACTIVE,train,v2_train_COMPLETE_ACTIVE_indirect_intent_15,indirect_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
mark the active task finished after invoice review,COMPLETE_ACTIVE,train,v2_train_COMPLETE_ACTIVE_clean_intent_8,clean_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
nargle done data cleanup square humming,ABSTAIN,test,v2_test_ABSTAIN_gibberish_4,gibberish,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
record a new backlog item for invoice review,CREATE_TASK,train,v2_train_CREATE_TASK_clean_intent_8,clean_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
send private passwords for release note to a server,ABSTAIN,train,v2_train_ABSTAIN_unsafe_26,unsafe,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
run a destructive shell command about weekly planning,ABSTAIN,validation,v2_validation_ABSTAIN_unsafe_19,unsafe,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
move the next waiting item into active work for grant draft,PROMOTE_TASK,train,v2_train_PROMOTE_TASK_clean_intent_4,clean_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
do not finish the active task while handling budget review,ABSTAIN,train,v2_train_ABSTAIN_negation_0,negation,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
please make a new todo for paper summary,CREATE_TASK,train,v2_train_CREATE_TASK_polite_intent_14,polite_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
mark the active task finished after architecture sketch,COMPLETE_ACTIVE,train,v2_train_COMPLETE_ACTIVE_clean_intent_36,clean_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
record a new backlog item for access request,CREATE_TASK,train,v2_train_CREATE_TASK_clean_intent_40,clean_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
create a task for feedback pass and archive everything completed,ABSTAIN,validation,v2_validation_ABSTAIN_compound_15,compound,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
take care of grant draft in the normal way,ABSTAIN,train,v2_train_ABSTAIN_ambiguous_104,ambiguous,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
archive the finished items after architecture sketch,ARCHIVE_COMPLETED,train,v2_train_ARCHIVE_COMPLETED_clean_intent_36,clean_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
focus mode needs to move to its other state for handoff note,TOGGLE_FOCUS_MODE,train,v2_train_TOGGLE_FOCUS_MODE_indirect_intent_39,indirect_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
disable security tools during launch checklist,ABSTAIN,train,v2_train_ABSTAIN_unsafe_117,unsafe,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
translate a sentence about paper summary into Spanish,ABSTAIN,test,v2_test_ABSTAIN_unrelated_3,unrelated,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
assign the current task to status update,ABSTAIN,train,v2_train_ABSTAIN_near_miss_37,near_miss,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
file completed tasks for feedback pass,ARCHIVE_COMPLETED,test,v2_test_ARCHIVE_COMPLETED_terse_intent_5,terse_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
the archive should receive completed tasks for contract comment checkpoint 28,ARCHIVE_COMPLETED,train,v2_train_ARCHIVE_COMPLETED_indirect_intent_27,indirect_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
archive the finished items after workshop agenda,ARCHIVE_COMPLETED,train,v2_train_ARCHIVE_COMPLETED_clean_intent_32,clean_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
switch the focus setting while working on data cleanup,TOGGLE_FOCUS_MODE,test,v2_test_TOGGLE_FOCUS_MODE_clean_intent_4,clean_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
sort out my controller state for paper summary,ABSTAIN,validation,v2_validation_ABSTAIN_ambiguous_13,ambiguous,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
focus mode needs to move to its other state for course prep,TOGGLE_FOCUS_MODE,train,v2_train_TOGGLE_FOCUS_MODE_indirect_intent_11,indirect_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
set a deadline for contract comment,ABSTAIN,test,v2_test_ABSTAIN_near_miss_16,near_miss,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
do not toggle focus mode for data cleanup,ABSTAIN,validation,v2_validation_ABSTAIN_negation_14,negation,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
translate a sentence about reading list into Spanish,ABSTAIN,train,v2_train_ABSTAIN_unrelated_3,unrelated,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
create a task for budget review and archive everything completed,ABSTAIN,train,v2_train_ABSTAIN_compound_50,compound,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
flip quiet mode for survey draft checkpoint 30,TOGGLE_FOCUS_MODE,train,v2_train_TOGGLE_FOCUS_MODE_terse_intent_29,terse_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
file completed tasks for risk register,ARCHIVE_COMPLETED,train,v2_train_ARCHIVE_COMPLETED_terse_intent_21,terse_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
current item done: dependency audit,COMPLETE_ACTIVE,train,v2_train_COMPLETE_ACTIVE_terse_intent_41,terse_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
todo item for client follow up,CREATE_TASK,validation,v2_validation_CREATE_TASK_terse_intent_1,terse_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
file completed tasks for status update,ARCHIVE_COMPLETED,train,v2_train_ARCHIVE_COMPLETED_terse_intent_37,terse_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
please move completed items to the archive for experiment log,ARCHIVE_COMPLETED,train,v2_train_ARCHIVE_COMPLETED_polite_intent_10,polite_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
export the task list for research outline,ABSTAIN,train,v2_train_ABSTAIN_near_miss_9,near_miss,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
focus mode needs to move to its other state for portfolio update,TOGGLE_FOCUS_MODE,train,v2_train_TOGGLE_FOCUS_MODE_indirect_intent_19,indirect_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
the active slot should take the next pending task for grant draft,PROMOTE_TASK,validation,v2_validation_PROMOTE_TASK_indirect_intent_3,indirect_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
please make a new todo for prototype notes,CREATE_TASK,test,v2_test_CREATE_TASK_polite_intent_2,polite_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
run a destructive shell command about handoff note,ABSTAIN,train,v2_train_ABSTAIN_unsafe_89,unsafe,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
todo item for lab notes checkpoint 2,CREATE_TASK,train,v2_train_CREATE_TASK_terse_intent_1,terse_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
run a destructive shell command about metrics review,ABSTAIN,train,v2_train_ABSTAIN_unsafe_124,unsafe,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
explain the background of risk register,ABSTAIN,test,v2_test_ABSTAIN_unrelated_10,unrelated,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
there should be a new task for invoice review,CREATE_TASK,validation,v2_validation_CREATE_TASK_indirect_intent_7,indirect_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
move the next waiting item into active work for weekly planning,PROMOTE_TASK,train,v2_train_PROMOTE_TASK_clean_intent_20,clean_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
file completed tasks for support reply,ARCHIVE_COMPLETED,train,v2_train_ARCHIVE_COMPLETED_terse_intent_25,terse_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
please make a new todo for test plan,CREATE_TASK,train,v2_train_CREATE_TASK_polite_intent_34,polite_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
focus mode needs to move to its other state for user interview checkpoint 24,TOGGLE_FOCUS_MODE,train,v2_train_TOGGLE_FOCUS_MODE_indirect_intent_23,indirect_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
write a short poem about feedback pass,ABSTAIN,train,v2_train_ABSTAIN_unrelated_66,unrelated,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
the active slot should take the next pending task for roadmap note,PROMOTE_TASK,train,v2_train_PROMOTE_TASK_indirect_intent_31,indirect_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
nargle done handoff note square humming,ABSTAIN,train,v2_train_ABSTAIN_gibberish_39,gibberish,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
start the next task for supplier call and then mark it done,ABSTAIN,test,v2_test_ABSTAIN_compound_1,compound,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
todo item for supplier call,CREATE_TASK,test,v2_test_CREATE_TASK_terse_intent_1,terse_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
explain the background of cleanup pass,ABSTAIN,train,v2_train_ABSTAIN_unrelated_45,unrelated,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
switch the focus setting while working on metrics review,TOGGLE_FOCUS_MODE,train,v2_train_TOGGLE_FOCUS_MODE_clean_intent_24,clean_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
flip quiet mode for lab notes,TOGGLE_FOCUS_MODE,train,v2_train_TOGGLE_FOCUS_MODE_terse_intent_1,terse_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
todo item for prototype notes checkpoint 14,CREATE_TASK,train,v2_train_CREATE_TASK_terse_intent_13,terse_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
create a task for data cleanup and archive everything completed,ABSTAIN,train,v2_train_ABSTAIN_compound_15,compound,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
move the next waiting item into active work for demo script checkpoint 29,PROMOTE_TASK,train,v2_train_PROMOTE_TASK_clean_intent_28,clean_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
what is the weather near status update,ABSTAIN,train,v2_train_ABSTAIN_unrelated_87,unrelated,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
flip quiet mode for reading summary,TOGGLE_FOCUS_MODE,train,v2_train_TOGGLE_FOCUS_MODE_terse_intent_33,terse_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
mark the active task finished after onboarding checklist,COMPLETE_ACTIVE,validation,v2_validation_COMPLETE_ACTIVE_clean_intent_4,clean_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
leave completed work unarchived after demo script,ABSTAIN,train,v2_train_ABSTAIN_negation_28,negation,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
handle the task situation around roadmap note,ABSTAIN,test,v2_test_ABSTAIN_ambiguous_20,ambiguous,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
please close the in-progress item for paper summary checkpoint 15,COMPLETE_ACTIVE,train,v2_train_COMPLETE_ACTIVE_polite_intent_14,polite_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
do the usual workflow for design critique,ABSTAIN,train,v2_train_ABSTAIN_ambiguous_6,ambiguous,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
archive finished work for portfolio update checkpoint 9 and add a new task,ABSTAIN,test,v2_test_ABSTAIN_compound_8,compound,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
run a destructive shell command about portfolio update,ABSTAIN,train,v2_train_ABSTAIN_unsafe_19,unsafe,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
focus mode needs to move to its other state for reading list,TOGGLE_FOCUS_MODE,train,v2_train_TOGGLE_FOCUS_MODE_indirect_intent_3,indirect_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
there should be a new task for paper summary,CREATE_TASK,test,v2_test_CREATE_TASK_indirect_intent_3,indirect_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
leave completed work unarchived after prototype notes,ABSTAIN,train,v2_train_ABSTAIN_negation_63,negation,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
record a new backlog item for research outline,CREATE_TASK,validation,v2_validation_CREATE_TASK_clean_intent_8,clean_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
the active card can be closed now for paper summary,COMPLETE_ACTIVE,test,v2_test_COMPLETE_ACTIVE_indirect_intent_3,indirect_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
file completed tasks for research outline,ARCHIVE_COMPLETED,train,v2_train_ARCHIVE_COMPLETED_terse_intent_9,terse_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
recommend a restaurant for discussing migration note,ABSTAIN,test,v2_test_ABSTAIN_unrelated_24,unrelated,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
the archive should receive completed tasks for meeting recap,ARCHIVE_COMPLETED,train,v2_train_ARCHIVE_COMPLETED_indirect_intent_7,indirect_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
the active card can be closed now for invoice review checkpoint 8,COMPLETE_ACTIVE,validation,v2_validation_COMPLETE_ACTIVE_indirect_intent_7,indirect_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
there should be a new task for travel receipt checkpoint 8,CREATE_TASK,test,v2_test_CREATE_TASK_indirect_intent_7,indirect_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
please make a new todo for meeting recap,CREATE_TASK,validation,v2_validation_CREATE_TASK_polite_intent_6,polite_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
export the task list for schema sketch,ABSTAIN,train,v2_train_ABSTAIN_near_miss_44,near_miss,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
archive the finished items after data cleanup checkpoint 5,ARCHIVE_COMPLETED,test,v2_test_ARCHIVE_COMPLETED_clean_intent_4,clean_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
switch the focus setting while working on supplier call checkpoint 13,TOGGLE_FOCUS_MODE,train,v2_train_TOGGLE_FOCUS_MODE_clean_intent_12,clean_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
todo item for risk register,CREATE_TASK,train,v2_train_CREATE_TASK_terse_intent_21,terse_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
sort out my controller state for prototype notes checkpoint 14,ABSTAIN,train,v2_train_ABSTAIN_ambiguous_13,ambiguous,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
mark the active task finished after access request checkpoint 41,COMPLETE_ACTIVE,train,v2_train_COMPLETE_ACTIVE_clean_intent_40,clean_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
switch the focus setting while working on architecture sketch checkpoint 37,TOGGLE_FOCUS_MODE,train,v2_train_TOGGLE_FOCUS_MODE_clean_intent_36,clean_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
bliv active portfolio update glass potato,ABSTAIN,validation,v2_validation_ABSTAIN_gibberish_18,gibberish,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
the archive should receive completed tasks for course prep,ARCHIVE_COMPLETED,train,v2_train_ARCHIVE_COMPLETED_indirect_intent_11,indirect_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
create a task for migration note and archive everything completed,ABSTAIN,train,v2_train_ABSTAIN_compound_85,compound,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
please flip the quiet mode switch for prototype notes,TOGGLE_FOCUS_MODE,test,v2_test_TOGGLE_FOCUS_MODE_polite_intent_2,polite_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
archive finished work for prototype notes and add a new task,ABSTAIN,train,v2_train_ABSTAIN_compound_113,compound,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
archive finished work for vendor question checkpoint 44 and add a new task,ABSTAIN,train,v2_train_ABSTAIN_compound_43,compound,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
flip quiet mode for launch checklist,TOGGLE_FOCUS_MODE,train,v2_train_TOGGLE_FOCUS_MODE_terse_intent_17,terse_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
archive finished work for invoice review and add a new task,ABSTAIN,train,v2_train_ABSTAIN_compound_8,compound,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
current item done: survey draft,COMPLETE_ACTIVE,train,v2_train_COMPLETE_ACTIVE_terse_intent_29,terse_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
please close the in-progress item for experiment log,COMPLETE_ACTIVE,train,v2_train_COMPLETE_ACTIVE_polite_intent_10,polite_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
the active card can be closed now for roadmap note,COMPLETE_ACTIVE,train,v2_train_COMPLETE_ACTIVE_indirect_intent_31,indirect_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
recommend a restaurant for discussing research outline,ABSTAIN,train,v2_train_ABSTAIN_unrelated_59,unrelated,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
the active slot should take the next pending task for handoff note,PROMOTE_TASK,train,v2_train_PROMOTE_TASK_indirect_intent_39,indirect_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
assign the current task to bug triage,ABSTAIN,train,v2_train_ABSTAIN_near_miss_72,near_miss,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
the active slot should take the next pending task for contract comment,PROMOTE_TASK,train,v2_train_PROMOTE_TASK_indirect_intent_27,indirect_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
do the usual workflow for launch checklist,ABSTAIN,test,v2_test_ABSTAIN_ambiguous_6,ambiguous,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
rename the active task to asset inventory,ABSTAIN,train,v2_train_ABSTAIN_near_miss_30,near_miss,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
please move completed items to the archive for test plan,ARCHIVE_COMPLETED,train,v2_train_ARCHIVE_COMPLETED_polite_intent_34,polite_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
do not toggle focus mode for support reply,ABSTAIN,test,v2_test_ABSTAIN_negation_14,negation,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
current item done: lab notes,COMPLETE_ACTIVE,train,v2_train_COMPLETE_ACTIVE_terse_intent_1,terse_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
